product_id,product_names,sale_offs,sales_prices,origin_prices,purchases,num_raters,ratings,categories_str,category_id
0,Áo khoác nam Akuba -3307 - Xanh,,,520000,165,1,80,Áo khoác,0
1,Áo khoác Bomber Nam N? 1980 phong cách - Xanh ?en,0.31,165000,239000,521,13,86,Áo khoác,0
2,Áo khoác nam n? ch?ng tia UV xám th? thao - A,0.29,375000,525000,180,4,80,Áo khoác,0
3,Áo khoác nam n? AW phong cách - ?? ?ô,0.31,165000,239000,183,1,80,Áo khoác,0
4,Áo khoác unisex ph?i ch? cá tính - Tr?ng,0.34,179000,270000,326,3,87,Áo khoác,0
5,Áo khoác Bomber Nam N? cá tính - Xanh ?en,0.33,160000,239000,508,1,80,Áo khoác,0
6,Áo khoác dù nam n? phong cách - Tím,0.33,209000,310000,325,3,80,Áo khoác,0
7,Áo khoác unisex ph?i ch? cá tính - ?en,0.34,179000,270000,326,3,87,Áo khoác,0
8,Áo khoác nam n? D2 cá tính - ?en,0.28,205000,285000,190,1,100,Áo khoác,0
9,Áo khoác dù nam n? cá tính - Xanh d??ng,0.33,235000,350000,302,5,96,Áo khoác,0
10,Áo khoác Kaki Pilot Landing tr? trung - Xanh rêu,0.31,165000,239000,345,4,80,Áo khoác,0
11,Áo khoác dù nam n? phong cách - ?en,0.33,209000,310000,325,3,80,Áo khoác,0
12,Áo khoác kaki nam n? th? thao ph?i vi?n - Xanh ?en,0.36,240000,375000,328,5,88,Áo khoác,0
13,Áo khoác nam n? D2 cá tính - Xanh,0.28,205000,285000,190,1,100,Áo khoác,0
14,Áo khoác nam Akuba cao c?p -3309 - Xanh rêu,,,600000,178,1,80,Áo khoác,0
15,Áo khoác Bomber Nam N? cá tính - Xanh lính,0.33,160000,239000,508,1,80,Áo khoác,0
16,Áo khoác unisex ph?i ch? cá tính - Xám,0.34,179000,270000,326,3,87,Áo khoác,0
17,Áo khoác nam n? ch?ng tia UV 3 s?c th? thao - Xám,0.27,415000,565000,180,1,80,Áo khoác,0
18,Áo khoác Bomber Nam N? 1980 phong cách - Tr?ng,0.31,165000,239000,521,13,86,Áo khoác,0
19,Áo khoác Bomber Nam N? cá tính - ?en,0.33,160000,239000,508,1,80,Áo khoác,0
20,Áo khoác kaki nam n? c? l? AL cá tính - ?? ?ô,0.3,245000,350000,475,14,80,Áo khoác,0
21,Áo khoác kaki nam n? r?n ri E-Sport sành ?i?u - Nâu,0.4,225000,375000,265,7,80,Áo khoác,0
22,Áo khoác nam n? AW phong cách - Xanh rêu,0.31,165000,239000,183,1,80,Áo khoác,0
23,Áo khoác nam n? ch?ng tia UV xám th? thao - B,0.29,375000,525000,180,4,80,Áo khoác,0
24,Áo khoác nam Akuba cao c?p -3309 - Da,,,600000,178,1,80,Áo khoác,0
25,Áo khoác kaki nam n? Fast & Furious 7 - ??,0.38,250000,400000,325,6,80,Áo khoác,0
26,Áo khoác Bomber Nam N? 1980 phong cách - ?en,0.31,165000,239000,521,13,86,Áo khoác,0
27,Áo khoác nam n? ph?i dây kéo th?i trang - ??,0.28,250000,345000,422,7,80,Áo khoác,0
28,Áo cardigan nam phong cách hàn qu?c - Xanh ?en,0.3,299000,430000,197,1,80,Áo khoác,0
29,Áo khoác nam Iron-man - ?en,0.33,250000,375000,269,1,80,Áo khoác,0
30,Áo khoác nam Akuba cao c?p -3309 - ?en,,,600000,178,1,80,Áo khoác,0
31,Áo khoác dù nam n? cá tính - Xanh lá,0.33,235000,350000,302,5,96,Áo khoác,0
32,Áo khoác kaki nam n? Onymax cá tính - ?en,0.34,299000,450000,126,1,80,Áo khoác,0
33,Áo khoác nam n? hai dây kéo cá tính - Xanh,0.28,250000,345000,323,2,80,Áo khoác,0
34,Áo khoác nam n? AW phong cách - ?en,0.31,165000,239000,183,1,80,Áo khoác,0
35,Áo khoác nam n? ph?i dây kéo th?i trang - Nâu,0.28,250000,345000,422,7,80,Áo khoác,0
36,Áo khoác kaki nam n? ??i bàng cá tính - Tr?ng,0.29,245000,345000,788,17,80,Áo khoác,0
37,Áo khoác nam Akuba cao c?p -3309 - Kem,,,600000,178,1,80,Áo khoác,0
38,Áo khoác Kaki Pilot Landing tr? trung - ?en,0.31,165000,239000,345,4,80,Áo khoác,0
39,Áo khoác dù nam n? dây kéo màu cá tính - Xanh,0.39,149000,245000,243,1,80,Áo khoác,0
40,Áo khoác kaki nam n? c? l? ph?i túi - Nâu,0.3,245000,350000,187,5,80,Áo khoác,0
41,Áo khoác dù nam n? phong cách - Xanh,0.33,209000,310000,325,3,80,Áo khoác,0
42,Áo khoác unisex ph?i ch? cá tính - Xanh ?en,0.34,179000,270000,326,3,87,Áo khoác,0
43,Áo Cardigan thu ?ông lãng t? - ?en,0.3,385000,550000,204,1,80,Áo khoác,0
44,Áo khoác Kaki Pilot Landing tr? trung - Xám,0.31,165000,239000,345,4,80,Áo khoác,0
45,Áo khoác kaki nam n? c? l? ph?i da - ?en,0.3,245000,350000,232,1,80,Áo khoác,0
46,Áo khoác Bomber Nam N? cá tính - ?? ?ô,0.33,160000,239000,508,1,80,Áo khoác,0
47,Áo khoác nam Iron-man - Xanh d??ng,0.33,250000,375000,269,1,80,Áo khoác,0
48,Áo khoác nam c? ph?i nút PA - Xám,0.39,229000,375000,197,1,80,Áo khoác,0
49,Áo khoác nam c? tr? phong cách - ?en,0.39,255000,418000,716,34,80,Áo khoác,0
50,Áo khoác nam mã v?ch th?i trang - ?en,0.43,295000,518000,182,2,80,Áo khoác,0
51,Áo khoác bomber nam n? phong cách - Xanh rêu,0.38,260000,419000,276,1,80,Áo khoác,0
52,Áo khoác kaki nam n? hai khoá kéo th?i trang - Xanh ?en,0.42,269000,464000,326,6,87,Áo khoác,0
53,Áo khoác dù nam nút b?m in ch? cá tính - ?en,0.4,210000,350000,216,7,83,Áo khoác,0
54,Áo khoác dù nam Sportwear nam tính - ?en,0.27,319000,437000,182,1,80,Áo khoác,0
55,Áo khoác kaki bomber Jacket Unisex th?i trang - Xanh lính,0.43,295000,518000,292,1,80,Áo khoác,0
56,Áo khoác kaki nam sang tr?ng - ?en,0.35,226000,350000,478,13,80,Áo khoác,0
